startYear,runtimeMinutes,numVotes,averageRating
1945.0,120.0,1187,7.3
1945.0,65.0,3122,6.9
1945.0,135.0,1151,7.0
1945.0,90.0,3101,7.2
1945.0,109.0,1312,6.3
1945.0,135.0,1115,6.5
1945.0,65.0,1220,6.6
1945.0,102.0,13394,7.8
1945.0,64.0,1006,6.7
1945.0,113.0,1173,6.7
1945.0,92.0,2748,7.1
1945.0,100.0,1447,6.4
1945.0,111.0,41241,7.6
1945.0,100.0,3459,7.0
1945.0,108.0,2880,7.2
1945.0,80.0,1214,6.8
1945.0,76.0,2229,6.4
1945.0,135.0,7258,7.2
1944.0,71.0,11479,6.5
1945.0,59.0,3195,6.7
1945.0,129.0,6795,8.0
1945.0,119.0,1753,7.4
1945.0,117.0,3197,7.0
1945.0,109.0,1230,7.3
1945.0,104.0,1214,6.8
1945.0,111.0,1913,6.7
1945.0,68.0,5131,6.7
1945.0,98.0,1850,7.0
1945.0,83.0,1846,6.1
1946.0,95.0,2595,6.9
1946.0,112.0,1207,7.1
1946.0,100.0,2298,6.8
1946.0,128.0,2066,7.0
1946.0,88.0,2157,6.6
1946.0,79.0,3409,6.8
1946.0,96.0,23278,7.9
1946.0,114.0,76316,7.9
1946.0,81.0,2514,7.0
1945.0,96.0,5201,7.1
1946.0,96.0,7143,7.2
1946.0,99.0,1193,6.5
1946.0,58.0,1146,4.2
1945.0,138.0,2423,6.3
1946.0,92.0,1861,6.9
1946.0,86.0,1411,6.6
1946.0,106.0,2298,6.6
1946.0,100.0,2743,7.5
1946.0,92.0,1314,6.3
1946.0,93.0,1218,6.5
1946.0,61.0,1047,6.7
1946.0,99.0,3843,7.2
1946.0,85.0,3894,7.1
1946.0,83.0,1547,6.8
1946.0,115.0,2861,7.1
1946.0,76.0,1423,6.8
1946.0,95.0,1213,6.6
1946.0,86.0,1138,6.6
1946.0,62.0,1103,6.0
1946.0,103.0,3520,7.0
1946.0,76.0,5141,6.9
1946.0,129.0,7709,6.8
1946.0,110.0,26359,7.7
1946.0,118.0,21117,7.8
1946.0,91.0,4105,7.5
1946.0,102.0,3405,7.1
1946.0,125.0,3728,7.4
1946.0,130.0,380821,8.6
1946.0,128.0,1451,7.2
1946.0,103.0,18099,7.8
1946.0,93.0,2299,6.5
1980.0,58.0,1451,7.4
